date,last,volume,open,high,low,stock
2025-02-14,$186.87,12714150,$186.83,$188.15,$186.11,GOOG
2025-02-14,$736.67,16901250,$726.14,$740.91,$725.62,META
2025-02-14,$233.04,16988780,$234.53,$235.74,$228.90,AVGO
2025-02-14,$203.90,23220330,$199.98,$206.25,$197.4605,TSM
2025-02-18,$139.40,219176600,$141.27,$143.44,$137.925,NVDA
2025-02-18,$244.47,48822490,$244.15,$245.18,$241.84,AAPL
2025-02-18,$114.28,31720310,$114.05,$115.55,$113.45,AMD
2025-02-18,$409.64,21423050,$408.00,$410.597,$406.50,MSFT
2025-02-18,$226.65,42975130,$228.82,$229.30,$223.72,AMZN
2025-02-18,$185.80,19796030,$187.44,$187.78,$183.58,GOOG
2025-02-18,$716.37,21938700,$736.00,$737.00,$706.44,META
2025-02-18,$228.53,26080550,$230.10,$232.20,$224.3001,AVGO
2025-02-18,$202.74,14988140,$204.755,$205.85,$200.52,TSM
2025-02-19,$139.23,167536000,$139.51,$141.36,$137.22,NVDA
2025-02-19,$244.87,32204220,$244.66,$246.01,$243.1604,AAPL
2025-02-19,$114.69,28807710,$114.245,$116.11,$113.14,AMD
2025-02-19,$414.77,24114200,$407.88,$415.49,$407.65,MSFT
2025-02-19,$226.63,28566710,$225.52,$226.83,$223.71,AMZN
2025-02-19,$187.13,13120470,$186.185,$187.36,$185.50,GOOG
2025-02-19,$703.77,17535480,$704.095,$707.00,$695.39,META
2025-02-19,$228.73,16375490,$227.85,$229.0653,$224.40,AVGO
2025-02-19,$200.95,13163070,$202.01,$202.60,$200.02,TSM
2025-02-20,$140.11,143903600,$140.03,$140.66,$136.7901,NVDA
2025-02-20,$245.83,32316910,$244.94,$246.78,$244.29,AAPL
2025-02-20,$114.17,27219570,$115.01,$116.55,$113.105,AMD
2025-02-20,$416.13,23508730,$415.29,$419.31,$412.54,MSFT
2025-02-20,$222.88,30001670,$224.775,$225.13,$221.81,AMZN
2025-02-20,$186.64,12063810,$186.50,$187.12,$184.60,GOOG
2025-02-20,$694.84,12587410,$697.275,$705.63,$693.64,META
2025-02-20,$226.74,16104000,$228.645,$228.98,$222.75,AVGO
2025-02-20,$200.10,10639330,$200.28,$200.34,$197.61,TSM
2025-02-21,$134.43,228217600,$140.04,$141.46,$134.03,NVDA
2025-02-21,$245.55,53197430,$245.95,$248.69,$245.22,AAPL
2025-02-21,$110.84,41353680,$114.845,$115.76,$110.43,AMD
2025-02-21,$408.21,27524800,$417.335,$418.048,$407.89,MSFT
2025-02-21,$216.58,55323850,$223.28,$223.31,$214.74,AMZN
2025-02-21,$181.58,19520780,$187.29,$187.47,$181.13,GOOG
2025-02-21,$683.55,15660360,$696.58,$703.87,$682.36,META
2025-02-21,$218.66,24883560,$225.65,$227.75,$215.63,AVGO
2025-02-21,$198.24,13757340,$201.33,$202.69,$196.01,TSM
2025-02-24,$130.28,251381100,$136.56,$138.59,$130.08,NVDA
2025-02-24,$247.10,51326400,$244.925,$248.86,$244.42,AAPL
2025-02-24,$108.11,29072210,$111.49,$111.60,$107.98,AMD
2025-02-24,$404.00,26443660,$408.51,$409.37,$399.32,MSFT
2025-02-24,$212.71,42387590,$217.45,$217.715,$212.42,AMZN
2025-02-24,$181.19,18734010,$183.80,$185.09,$180.88,GOOG
2025-02-24,$668.13,15676990,$686.28,$687.27,$662.45,META
2025-02-24,$207.93,33050430,$218.60,$219.48,$207.54,AVGO
2025-02-24,$191.65,15114280,$196.88,$198.79,$191.46,TSM
2025-02-25,$126.63,271428700,$129.98,$130.20,$124.44,NVDA
2025-02-25,$247.04,48013270,$248.00,$250.00,$244.91,AAPL
2025-02-25,$103.96,39169160,$107.885,$108.64,$103.62,AMD
2025-02-25,$397.90,29387400,$401.10,$401.915,$396.70,MSFT
2025-02-25,$212.80,58957980,$211.63,$213.34,$204.16,AMZN
2025-02-25,$177.37,20832490,$180.155,$180.76,$176.77,GOOG
2025-02-25,$657.50,20579660,$665.972,$668.00,$641.86,META
2025-02-25,$202.54,33100810,$207.00,$208.6425,$200.92,AVGO
2025-02-25,$189.37,20580950,$190.65,$193.53,$187.468,TSM
2025-02-26,$131.28,322553800,$129.985,$133.73,$128.49,NVDA
2025-02-26,$240.36,44433560,$244.33,$244.98,$239.13,AAPL
2025-02-26,$104.74,29178210,$104.945,$105.7999,$103.99,AMD
2025-02-26,$399.73,19618950,$398.01,$403.60,$394.245,MSFT
2025-02-26,$214.35,39120600,$214.94,$218.16,$213.09,AMZN
2025-02-26,$174.70,23693250,$176.945,$178.08,$173.59,GOOG
2025-02-26,$673.70,14488710,$659.65,$683.0078,$658.00,META
2025-02-26,$212.94,21368300,$206.91,$213.54,$206.00,AVGO
2025-02-26,$194.62,14112250,$191.09,$196.08,$191.09,TSM
2025-02-27,$120.15,443175800,$135.00,$135.01,$120.01,NVDA
2025-02-27,$237.30,41153640,$239.41,$242.46,$237.06,AAPL
2025-02-27,$99.51,47263730,$105.08,$105.76,$99.50,AMD
2025-02-27,$392.53,21127410,$401.265,$405.74,$392.17,MSFT
2025-02-27,$208.74,40548570,$218.35,$219.97,$208.37,AMZN
2025-02-27,$170.21,25930530,$175.94,$176.59,$169.752,GOOG
2025-02-27,$658.24,12500010,$682.45,$688.6469,$657.57,META
2025-02-27,$197.80,27572890,$217.28,$219.25,$197.40,AVGO
2025-02-27,$181.09,24219210,$194.69,$194.77,$181.08,TSM
2025-02-28,$124.92,389091100,$118.02,$125.09,$116.40,NVDA
2025-02-28,$241.84,56833360,$236.95,$242.09,$230.20,AAPL
2025-02-28,$99.86,45194580,$99.56,$101.80,$98.69,AMD
2025-02-28,$396.99,32845660,$392.655,$397.63,$386.57,MSFT
2025-02-28,$212.28,51771740,$208.65,$212.62,$206.99,AMZN
2025-02-28,$172.22,30049810,$170.30,$172.50,$168.39,GOOG
2025-02-28,$668.20,17534170,$658.04,$669.63,$642.6017,META
2025-02-28,$199.43,39747250,$195.76,$201.19,$193.15,AVGO
2025-02-28,$180.53,27929430,$179.31,$182.16,$175.52,TSM
2025-03-03,$114.06,411381400,$123.51,$123.70,$112.28,NVDA
2025-03-03,$238.03,47183990,$241.79,$244.0272,$236.112,AAPL
2025-03-03,$98.23,38957990,$101.515,$102.34,$97.09,AMD
2025-03-03,$388.49,23007730,$398.82,$398.82,$386.155,MSFT
2025-03-03,$205.02,42948450,$213.352,$214.01,$202.55,AMZN
2025-03-03,$168.66,24121990,$173.73,$175.00,$167.64,GOOG
2025-03-03,$655.05,10843760,$673.675,$681.25,$650.8439,META
2025-03-03,$187.37,37435600,$204.00,$204.06,$184.53,AVGO
2025-03-03,$172.97,37403000,$181.15,$181.57,$171.07,TSM
2025-03-04,$115.99,398163300,$110.645,$119.31,$110.11,NVDA
2025-03-04,$235.93,53798060,$237.705,$240.07,$234.68,AAPL
2025-03-04,$100.75,54156940,$96.00,$103.18,$95.89,AMD
2025-03-04,$388.61,29342920,$383.40,$392.58,$381.00,MSFT
2025-03-04,$203.80,60853080,$200.11,$206.80,$197.432,AMZN
2025-03-04,$172.61,30711410,$167.94,$175.165,$167.54,GOOG
2025-03-04,$640.00,21495210,$645.51,$649.75,$623.65,META
2025-03-04,$187.48,37910480,$189.215,$193.95,$180.48,AVGO
2025-03-04,$180.00,29395230,$175.06,$183.60,$174.18,TSM
2025-03-05,$117.30,284337900,$117.58,$118.2781,$114.51,NVDA
2025-03-05,$235.74,47227640,$235.42,$236.55,$229.23,AAPL
2025-03-05,$101.67,27855490,$100.36,$101.84,$98.87,AMD
2025-03-05,$401.02,23433130,$389.34,$401.67,$388.81,MSFT
2025-03-05,$208.36,38610090,$204.80,$209.98,$203.26,AMZN
2025-03-05,$174.99,18848040,$172.32,$175.75,$170.93,GOOG
2025-03-05,$656.47,13770030,$641.00,$659.50,$637.66,META
2025-03-05,$191.58,25644540,$191.86,$194.08,$187.10,AVGO
2025-03-05,$184.28,17334000,$183.00,$184.74,$180.72,TSM
2025-03-06,$235.33,45170420,$234.435,$237.86,$233.1581,AAPL
2025-03-06,$98.85,28984980,$99.05,$101.08,$98.27,AMD
2025-03-06,$396.89,23304630,$394.28,$402.15,$392.6777,MSFT
2025-03-06,$200.70,49863760,$204.40,$205.77,$198.3015,AMZN
2025-03-06,$174.21,19082400,$172.55,$176.73,$172.508,GOOG
2025-03-06,$627.93,13446450,$648.00,$650.5625,$624.11,META
2025-03-06,$179.45,56864100,$181.04,$186.83,$177.61,AVGO
2025-03-06,$175.85,17864290,$178.575,$181.55,$175.79,TSM
